t,v,a,k
13,47.0071,2.18664,3
13.05,47.1164,2.18217,3
13.1,47.2255,2.17771,3
13.15,47.3344,2.17325,3
13.2,47.443,2.1688,3
13.25,47.5515,2.16436,3
13.3,47.6597,2.15992,3
13.35,47.7677,2.15548,3
13.4,47.8755,2.15105,3
13.45,47.983,2.14663,3
13.5,48.0904,2.14221,3
13.55,48.1975,2.13779,3
13.6,48.3044,2.13338,3
13.65,48.411,2.12898,3
13.7,48.5175,2.12458,3
13.75,48.6237,2.12018,3
13.8,48.7297,2.11579,3
13.85,48.8355,2.11141,3
13.9,48.9411,2.10703,3
13.95,49.0464,2.10265,3
14,49.1516,2.09828,3
14.05,49.2565,2.09392,3
14.1,49.3612,2.08956,3
14.15,49.4656,2.08521,3
14.2,49.5699,2.08086,3
14.25,49.6739,2.07652,3
14.3,49.7778,2.07218,3
14.35,49.8814,2.06785,3
14.4,49.9848,2.06352,3
14.45,50.0879,2.0592,3
14.5,50.1909,2.05488,3
14.55,50.2937,2.05057,3
14.6,50.3962,2.04626,3
14.65,50.4985,2.04196,3
14.7,50.6006,2.03767,3
14.75,50.7025,2.03338,3
14.8,50.8041,2.02909,3
14.85,50.9056,2.02481,3
14.9,51.0068,2.02054,3
14.95,51.1079,2.01627,3
15,51.2087,2.01201,3
15.05,51.3093,2.00775,3
15.1,51.4097,2.00349,3
15.15,51.5098,1.99925,3
15.2,51.6098,1.995,3
15.25,51.7096,1.99077,3
15.3,51.8091,1.98654,3
15.35,51.9084,1.98231,3
15.4,52.0075,1.97809,3
15.45,52.1064,1.97387,3
15.5,52.2051,1.96967,3
15.55,52.3036,1.96546,3
15.6,52.4019,1.96126,3
15.65,52.5,1.95707,3
15.7,52.5978,1.95288,3
15.75,52.6955,1.9487,3
15.8,52.7929,1.94452,3
15.85,52.8901,1.94035,3
15.9,52.9871,1.93618,3
15.95,53.0839,1.93202,3
16,53.1805,1.92787,3
16.05,53.2769,1.92372,3
16.1,53.3731,1.91957,3
16.15,53.4691,1.91543,3
16.2,53.5649,1.9113,3
16.25,53.6604,1.90717,3
16.3,53.7558,1.90305,3
16.35,53.8509,1.89893,3
16.4,53.9459,1.89482,3
16.45,54.0406,1.89072,3
16.5,54.1352,1.88662,3
16.55,54.2295,1.88252,3
16.6,54.3236,1.87844,3
16.65,54.4175,1.87435,3
16.7,54.5113,1.87027,3
16.75,54.6048,1.8662,3
16.8,54.6981,1.86214,3
16.85,54.7912,1.85807,3
16.9,54.8841,1.85402,3
16.95,54.9768,1.84997,3
17,55.0693,1.84593,3
17.05,55.1616,1.84189,3
17.1,55.2537,1.83785,3
17.15,55.3456,1.83383,3
17.2,55.4373,1.82981,3
17.25,55.5288,1.82579,3
17.3,55.6201,1.82178,3
17.35,55.7111,1.81777,3
17.4,55.802,1.81378,3
17.45,55.8927,1.80978,3
17.5,55.9832,1.80579,3
17.55,56.0735,1.80181,3
17.6,56.1636,1.79784,3
17.65,56.2535,1.79386,3
17.7,56.3432,1.7899,3
17.75,56.4327,1.78594,3
17.8,56.522,1.78199,3
17.85,56.6111,1.77804,3
17.9,56.7,1.7741,3
17.95,56.7887,1.77016,3
18,56.8772,1.76623,3
18.05,56.9655,1.7623,3
18.1,57.0536,1.75838,3
18.15,57.1415,1.75447,3
18.2,57.2293,1.75056,3
18.25,57.3168,1.74666,3
18.3,57.4041,1.74276,3
18.35,57.4913,1.73887,3
18.4,57.5782,1.73499,3
18.45,57.6649,1.73111,3
18.5,57.7515,1.72724,3
18.55,57.8379,1.72337,3
18.6,57.924,1.71951,3
18.65,58.01,1.71565,3
18.7,58.0958,1.7118,3
18.75,58.1814,1.70795,3
18.8,58.2668,1.70412,3
18.85,58.352,1.70028,3
18.9,58.437,1.69646,3
18.95,58.5218,1.69263,3
19,58.6064,1.68882,3
19.05,58.6909,1.68501,3
19.1,58.7751,1.6812,3
19.15,58.8592,1.67741,3
19.2,58.9431,1.67361,3
19.25,59.0268,1.66983,3
19.3,59.1102,1.66624,4
19.35,59.1936,1.66352,4
19.4,59.2767,1.66079,4
19.45,59.3598,1.65808,4
19.5,59.4427,1.65536,4
19.55,59.5254,1.65265,4
19.6,59.6081,1.64994,4
19.65,59.6906,1.64724,4
19.7,59.7729,1.64454,4
19.75,59.8552,1.64184,4
19.8,59.9373,1.63914,4
19.85,60.0192,1.63645,4
19.9,60.101,1.63376,4
19.95,60.1827,1.63107,4
20,60.2643,1.62839,4
20.05,60.3457,1.62571,4
20.1,60.427,1.62303,4
20.15,60.5081,1.62036,4
20.2,60.5891,1.61769,4
20.25,60.67,1.61502,4
20.3,60.7508,1.61236,4
20.35,60.8314,1.6097,4
20.4,60.9119,1.60704,4
20.45,60.9922,1.60438,4
20.5,61.0725,1.60173,4
20.55,61.1525,1.59908,4
20.6,61.2325,1.59644,4
20.65,61.3123,1.5938,4
20.7,61.392,1.59116,4
20.75,61.4716,1.58852,4
20.8,61.551,1.58589,4
20.85,61.6303,1.58326,4
20.9,61.7095,1.58063,4
20.95,61.7885,1.57801,4
21,61.8674,1.57539,4
21.05,61.9462,1.57277,4
21.1,62.0248,1.57016,4
21.15,62.1033,1.56755,4
21.2,62.1817,1.56494,4
21.25,62.2599,1.56234,4
21.3,62.338,1.55974,4
21.35,62.416,1.55714,4
21.4,62.4939,1.55454,4
21.45,62.5716,1.55195,4
21.5,62.6492,1.54936,4
21.55,62.7267,1.54678,4
21.6,62.804,1.5442,4
21.65,62.8812,1.54162,4
21.7,62.9583,1.53904,4
21.75,63.0353,1.53647,4
21.8,63.1121,1.5339,4
21.85,63.1888,1.53133,4
21.9,63.2653,1.52877,4
21.95,63.3418,1.52621,4
22,63.4181,1.52365,4
22.05,63.4943,1.5211,4
22.1,63.5703,1.51855,4
22.15,63.6463,1.516,4
22.2,63.7221,1.51346,4
22.25,63.7977,1.51091,4
22.3,63.8733,1.50838,4
22.35,63.9487,1.50584,4
22.4,64.024,1.50331,4
22.45,64.0992,1.50078,4
22.5,64.1742,1.49826,4
22.55,64.2491,1.49573,4
22.6,64.3239,1.49321,4
22.65,64.3986,1.4907,4
22.7,64.4731,1.48819,4
22.75,64.5475,1.48568,4
22.8,64.6218,1.48317,4
22.85,64.6959,1.48067,4
22.9,64.77,1.47817,4
22.95,64.8439,1.47567,4
23,64.9177,1.47317,4
23.05,64.9913,1.47068,4
23.1,65.0649,1.4682,4
23.15,65.1383,1.46571,4
23.2,65.2116,1.46323,4
23.25,65.2847,1.46075,4
23.3,65.3578,1.45828,4
23.35,65.4307,1.4558,4
23.4,65.5035,1.45334,4
23.45,65.5761,1.45087,4
23.5,65.6487,1.44841,4
23.55,65.7211,1.44595,4
23.6,65.7934,1.44349,4
23.65,65.8656,1.44104,4
23.7,65.9376,1.43859,4
23.75,66.0095,1.43614,4
23.8,66.0813,1.4337,4
23.85,66.153,1.43126,4
23.9,66.2246,1.42882,4
23.95,66.296,1.42639,4
24,66.3674,1.42395,4
24.05,66.4386,1.42153,4
24.1,66.5096,1.4191,4
24.15,66.5806,1.41668,4
24.2,66.6514,1.41426,4
24.25,66.7221,1.41184,4
24.3,66.7927,1.40943,4
24.35,66.8632,1.40702,4
24.4,66.9335,1.40462,4
24.45,67.0038,1.40221,4
24.5,67.0739,1.39981,4
24.55,67.1439,1.39742,4
24.6,67.2137,1.39502,4
24.65,67.2835,1.39263,4
24.7,67.3531,1.39024,4
24.75,67.4226,1.38786,4
24.8,67.492,1.38548,4
24.85,67.5613,1.3831,4
24.9,67.6305,1.38073,4
24.95,67.6995,1.37835,4
25,67.7684,1.37598,4
25.05,67.8372,1.37362,4
25.1,67.9059,1.37126,4
25.15,67.9745,1.3689,4
25.2,68.0429,1.36654,4
25.25,68.1112,1.36419,4
25.3,68.1794,1.36184,4
25.35,68.2475,1.35949,4
25.4,68.3155,1.35715,4
25.45,68.3834,1.3548,4
25.5,68.4511,1.35247,4
25.55,68.5187,1.35013,4
25.6,68.5862,1.3478,4
25.65,68.6536,1.34547,4
25.7,68.7209,1.34315,4
25.75,68.7881,1.34082,4
25.8,68.8551,1.3385,4
25.85,68.922,1.33619,4
25.9,68.9888,1.33388,4
25.95,69.0555,1.33157,4
26,69.1221,1.32926,4
26.05,69.1886,1.32696,4
26.1,69.2549,1.32465,4
26.15,69.3211,1.32236,4
26.2,69.3873,1.32006,4
26.25,69.4533,1.31777,4
26.3,69.5192,1.31548,4
26.35,69.5849,1.3132,4
26.4,69.6506,1.31092,4
26.45,69.7161,1.30864,4
26.5,69.7816,1.30636,4
26.55,69.8469,1.30409,4
26.6,69.9121,1.30182,4
26.65,69.9772,1.29955,4
26.7,70.0422,1.29729,4
26.75,70.107,1.29503,4
26.8,70.1718,1.29277,4
26.85,70.2364,1.29051,4
26.9,70.3009,1.28826,4
26.95,70.3654,1.28602,4
27,70.4297,1.28377,4
27.05,70.4938,1.28153,4
27.1,70.5579,1.27929,4
27.15,70.6219,1.27705,4
27.2,70.6857,1.27482,4
27.25,70.7495,1.27259,4
27.3,70.8131,1.27053,5
27.35,70.8766,1.26875,5
27.4,70.9401,1.26697,5
27.45,71.0034,1.2652,5
27.5,71.0667,1.26343,5
27.55,71.1299,1.26166,5
27.6,71.1929,1.25989,5
27.65,71.2559,1.25812,5
27.7,71.3188,1.25636,5
27.75,71.3817,1.2546,5
27.8,71.4444,1.25284,5
27.85,71.507,1.25108,5
27.9,71.5696,1.24932,5
27.95,71.632,1.24757,5
28,71.6944,1.24582,5
28.05,71.7567,1.24407,5
28.1,71.8189,1.24232,5
28.15,71.881,1.24057,5
28.2,71.9431,1.23883,5
28.25,72.005,1.23709,5
28.3,72.0669,1.23535,5
28.35,72.1286,1.23361,5
28.4,72.1903,1.23187,5
28.45,72.2519,1.23014,5
28.5,72.3134,1.22841,5
28.55,72.3748,1.22668,5
28.6,72.4362,1.22495,5
28.65,72.4974,1.22322,5
28.7,72.5586,1.2215,5
28.75,72.6196,1.21978,5
28.8,72.6806,1.21806,5
28.85,72.7415,1.21634,5
28.9,72.8023,1.21462,5
28.95,72.8631,1.21291,5
29,72.9237,1.2112,5
29.05,72.9843,1.20949,5
29.1,73.0448,1.20778,5
29.15,73.1051,1.20607,5
29.2,73.1655,1.20437,5
29.25,73.2257,1.20266,5
29.3,73.2858,1.20096,5
29.35,73.3459,1.19927,5
29.4,73.4058,1.19757,5
29.45,73.4657,1.19587,5
29.5,73.5255,1.19418,5
29.55,73.5852,1.19249,5
29.6,73.6448,1.1908,5
29.65,73.7044,1.18912,5
29.7,73.7638,1.18743,5
29.75,73.8232,1.18575,5
29.8,73.8825,1.18407,5
29.85,73.9417,1.18239,5
29.9,74.0008,1.18071,5
29.95,74.0598,1.17904,5
30,74.1188,1.17737,5
30.05,74.1777,1.1757,5
30.1,74.2364,1.17403,5
30.15,74.2951,1.17236,5
30.2,74.3538,1.17069,5
30.25,74.4123,1.16903,5
30.3,74.4707,1.16737,5
30.35,74.5291,1.16571,5
30.4,74.5874,1.16405,5
30.45,74.6456,1.1624,5
30.5,74.7037,1.16075,5
30.55,74.7618,1.15909,5
30.6,74.8197,1.15744,5
30.65,74.8776,1.1558,5
30.7,74.9354,1.15415,5
30.75,74.9931,1.15251,5
30.8,75.0507,1.15087,5
30.85,75.1083,1.14923,5
30.9,75.1657,1.14759,5
30.95,75.2231,1.14595,5
31,75.2804,1.14432,5
31.05,75.3376,1.14269,5
31.1,75.3947,1.14106,5
31.15,75.4518,1.13943,5
31.2,75.5088,1.1378,5
31.25,75.5657,1.13618,5
31.3,75.6225,1.13456,5
31.35,75.6792,1.13294,5
31.4,75.7358,1.13132,5
31.45,75.7924,1.1297,5
31.5,75.8489,1.12809,5
31.55,75.9053,1.12647,5
31.6,75.9616,1.12486,5
31.65,76.0179,1.12325,5
31.7,76.074,1.12165,5
31.75,76.1301,1.12004,5
31.8,76.1861,1.11844,5
31.85,76.242,1.11684,5
31.9,76.2979,1.11524,5
31.95,76.3536,1.11364,5
32,76.4093,1.11204,5
32.05,76.4649,1.11045,5
32.1,76.5204,1.10886,5
32.15,76.5759,1.10727,5
32.2,76.6312,1.10568,5
32.25,76.6865,1.1041,5
32.3,76.7417,1.10251,5
32.35,76.7969,1.10093,5
32.4,76.8519,1.09935,5
32.45,76.9069,1.09777,5
32.5,76.9618,1.09619,5
32.55,77.0166,1.09462,5
32.6,77.0713,1.09305,5
32.65,77.126,1.09148,5
32.7,77.1805,1.08991,5
32.75,77.235,1.08834,5
32.8,77.2894,1.08677,5
32.85,77.3438,1.08521,5
32.9,77.398,1.08365,5
32.95,77.4522,1.08209,5
33,77.5063,1.08053,5
33.05,77.5604,1.07898,5
33.1,77.6143,1.07742,5
33.15,77.6682,1.07587,5
33.2,77.722,1.07432,5
33.25,77.7757,1.07277,5
33.3,77.8293,1.07123,5
33.35,77.8829,1.06968,5
33.4,77.9364,1.06814,5
33.45,77.9898,1.0666,5
33.5,78.0431,1.06506,5
33.55,78.0964,1.06352,5
33.6,78.1495,1.06199,5
33.65,78.2026,1.06045,5
33.7,78.2557,1.05892,5
33.75,78.3086,1.05739,5
33.8,78.3615,1.05587,5
33.85,78.4143,1.05434,5
33.9,78.467,1.05282,5
33.95,78.5196,1.05129,5
34,78.5722,1.04977,5
34.05,78.6247,1.04826,5
34.1,78.6771,1.04674,5
34.15,78.7294,1.04522,5
34.2,78.7817,1.04371,5
34.25,78.8339,1.0422,5
34.3,78.886,1.04069,5
34.35,78.938,1.03918,5
34.4,78.99,1.03768,5
34.45,79.0419,1.03618,5
34.5,79.0937,1.03467,5
34.55,79.1454,1.03317,5
34.6,79.1971,1.03168,5
34.65,79.2486,1.03018,5
34.7,79.3002,1.02868,5
34.75,79.3516,1.02719,5
34.8,79.4029,1.0257,5
34.85,79.4542,1.02421,5
34.9,79.5054,1.02273,5
34.95,79.5566,1.02124,5
35,79.6076,1.01976,5
35.05,79.6586,1.01828,5
35.1,79.7095,1.0168,5
35.15,79.7604,1.01532,5
35.2,79.8112,1.01384,5
35.25,79.8618,1.01237,5
35.3,79.9125,1.0109,5
35.35,79.963,1.00942,5
35.4,80.0135,1.00796,5
35.45,80.0639,1.00649,5
35.5,80.1142,1.00502,5
35.55,80.1645,1.00356,5
35.6,80.2146,1.0021,5
35.65,80.2647,1.00064,5
35.7,80.3148,0.999182,5
35.75,80.3647,0.997726,5
35.8,80.4146,0.996271,5
35.85,80.4644,0.994819,5
35.9,80.5142,0.993368,5
35.95,80.5638,0.991919,5
36,80.6134,0.990472,5
36.05,80.663,0.989027,5
36.1,80.7124,0.987584,5
36.15,80.7618,0.986142,5
36.2,80.8111,0.984702,5
36.25,80.8603,0.983264,5
36.3,80.9095,0.981828,5
36.35,80.9586,0.980393,5
36.4,81.0076,0.978989,6
36.45,81.0566,0.977773,6
36.5,81.1054,0.976559,6
36.55,81.1543,0.975345,6
36.6,81.203,0.974134,6
36.65,81.2517,0.972923,6
36.7,81.3004,0.971714,6
36.75,81.349,0.970506,6
36.8,81.3975,0.9693,6
36.85,81.446,0.968095,6
36.9,81.4944,0.966891,6
36.95,81.5427,0.965688,6
37,81.591,0.964487,6
37.05,81.6392,0.963287,6
37.1,81.6874,0.962088,6
37.15,81.7355,0.960891,6
37.2,81.7835,0.959695,6
37.25,81.8315,0.9585,6
37.3,81.8794,0.957307,6
37.35,81.9273,0.956115,6
37.4,81.9751,0.954924,6
37.45,82.0229,0.953734,6
37.5,82.0705,0.952546,6
37.55,82.1182,0.951359,6
37.6,82.1657,0.950174,6
37.65,82.2133,0.948989,6
37.7,82.2607,0.947806,6
37.75,82.3081,0.946624,6
37.8,82.3554,0.945444,6
37.85,82.4027,0.944265,6
37.9,82.4499,0.943087,6
37.95,82.4971,0.94191,6
38,82.5442,0.940735,6
38.05,82.5912,0.939561,6
38.1,82.6382,0.938388,6
38.15,82.6851,0.937217,6
38.2,82.732,0.936047,6
38.25,82.7788,0.934878,6
38.3,82.8255,0.93371,6
38.35,82.8722,0.932544,6
38.4,82.9188,0.931379,6
38.45,82.9654,0.930215,6
38.5,83.0119,0.929053,6
38.55,83.0583,0.927892,6
38.6,83.1047,0.926732,6
38.65,83.1511,0.925573,6
38.7,83.1974,0.924416,6
38.75,83.2436,0.92326,6
38.8,83.2897,0.922105,6
38.85,83.3358,0.920951,6
38.9,83.3819,0.919799,6
38.95,83.4279,0.918648,6
39,83.4738,0.917498,6
39.05,83.5197,0.91635,6
39.1,83.5655,0.915203,6
39.15,83.6113,0.914057,6
39.2,83.657,0.912912,6
39.25,83.7026,0.911769,6
39.3,83.7482,0.910627,6
39.35,83.7937,0.909486,6
39.4,83.8392,0.908346,6
39.45,83.8846,0.907208,6
